epoch,train_loss,val_loss
1,0.5497160822222886,0.8812000073775055
2,0.5354135947561918,0.859925194521143
3,0.5304126826607749,0.8397092540140952
4,0.5276382838705467,0.8530335403950449
5,0.5252863795743499,0.8498504574398743
6,0.5236575024257122,0.8405198818219184
7,0.5219326328561644,0.8427043925760439
8,0.5196964716049968,0.8401567402990829
9,0.518045251409752,0.8403192627154097
10,0.5181801591036175,0.83558102517871
11,0.515627602159665,0.8373647098915133
12,0.5139176524761936,0.8403978011607729
13,0.5134865277081025,0.8424590984225214
14,0.5123213512394723,0.8394617506369669
15,0.5109783135316542,0.8486702615855684
