trial,epoch,batch,train_loss,val_loss
2,1,,0.061059817566838065,0.055520965407292046
2,2,,0.043143790530067096,0.051704803481698036
2,3,,0.04302594451312448,0.05101138850053152
2,4,,0.04374607878041939,0.04567487072199583
2,5,,0.0435977339692099,0.04475801903754473
2,6,,0.04313497434199696,0.043991515723367534
2,7,,0.04195588042723461,0.042277135575811066
2,8,,0.039584401496489285,0.041635177563875914
2,9,,0.03624052097889739,0.039977308052281536
2,10,,0.031658270081478944,0.03615466924384236
2,11,,0.030233442481659666,0.0354625986268123
2,12,,0.02872643580424114,0.034654066587487854
2,13,,0.02781111383679467,0.03624656408404311
2,14,,0.02752133870733456,0.03531560581177473
2,15,,0.02669402841531055,0.034194669065376125
2,16,,0.025768895633518696,0.03798068795974056
2,17,,0.027578882597596714,0.03331371552000443
2,18,,0.025740174812750077,0.0345570088053743
2,19,,0.02510735135472996,0.033136527985334396
2,20,,0.024900076727212315,0.032206639337042965
2,21,,0.023715193934318885,0.03313839451099435
2,22,,0.023616891131329705,0.03206218499690294
2,23,,0.02368135072133491,0.030904359960307676
2,24,,0.02317426542580967,0.030652129091322422
2,25,,0.023083753857604215,0.03206987616916498
2,26,,0.023465215307201297,0.030638417073835928
2,27,,0.023483820941666483,0.02988422956938545
2,28,,0.022590592608485425,0.030683793127536774
2,29,,0.022634817798897415,0.029256654748072226
2,30,,0.022214595385840242,0.029606306304534275
