trial,epoch,batch,train_loss,val_loss
1,1,,0.03163640856952735,0.05754012047934035
1,2,,0.024509323180430163,0.06089364488919576
1,3,,0.025159169762382205,0.05843528197146952
1,4,,0.026413838021640837,0.0586248068138957
1,5,,0.02616773070242833,0.058117474894970655
1,6,,0.025598205193142657,0.054725137151156865
1,7,,0.025495575927853793,0.06095860572531819
1,8,,0.025777760719303305,0.060954787069931626
1,9,,0.025786569073114177,0.05682445503771305
1,10,,0.025542425234395434,0.05638730882977446
1,11,,0.025921795825460846,0.06052330656287571
